STATEFP,ST_NAME,COUNTYFP,COU_NAME,COUSUBFP,MCD_NAME,PLACEFP,PL_NAME,AIANNHCE,AIA_NAME
36,New York,001,Albany County,06211,Berne town,99999,,9999,
36,New York,001,Albany County,06354,Bethlehem town,99999,,9999,
36,New York,001,Albany County,16694,Coeymans town,60675,Ravena village,9999,
36,New York,001,Albany County,16694,Coeymans town,99999,,9999,
36,New York,001,Albany County,17343,Colonie town,17332,Colonie village,9999,
36,New York,001,Albany County,17343,Colonie town,46536,Menands village,9999,
36,New York,001,Albany County,17343,Colonie town,99999,,9999,
36,New York,001,Albany County,30532,Green Island town,30521,Green Island village,9999,
36,New York,001,Albany County,31104,Guilderland town,01517,Altamont village,9999,
36,New York,001,Albany County,31104,Guilderland town,99999,,9999,
36,New York,001,Albany County,40002,Knox town,99999,,9999,
36,New York,001,Albany County,50672,New Scotland town,77684,Voorheesville village,9999,
36,New York,001,Albany County,50672,New Scotland town,99999,,9999,
36,New York,001,Albany County,61181,Rensselaerville town,99999,,9999,
36,New York,001,Albany County,79851,Westerlo town,99999,,9999,
36,New York,001,Albany County,99999,,01000,Albany city,9999,
36,New York,001,Albany County,99999,,16749,Cohoes city,9999,
36,New York,001,Albany County,99999,,78674,Watervliet city,9999,
36,New York,003,Allegany County,01209,Alfred town,01198,Alfred village,9999,
36,New York,003,Allegany County,01209,Alfred town,99999,,9999,
36,New York,003,Allegany County,01319,Allen town,99999,,9999,
36,New York,003,Allegany County,01429,Alma town,99999,,9999,
36,New York,003,Allegany County,01451,Almond town,01440,Almond village,9999,
36,New York,003,Allegany County,01451,Almond town,99999,,9999,
36,New York,003,Allegany County,02011,Amity town,05815,Belmont village,9999,
36,New York,003,Allegany County,02011,Amity town,99999,,9999,
36,New York,003,Allegany County,02154,Andover town,02143,Andover village,9999,
36,New York,003,Allegany County,02154,Andover town,99999,,9999,
36,New York,003,Allegany County,02187,Angelica town,02176,Angelica village,9999,
36,New York,003,Allegany County,02187,Angelica town,99999,,9999,
36,New York,003,Allegany County,05573,Belfast town,99999,,9999,
36,New York,003,Allegany County,06717,Birdsall town,99999,,9999,
36,New York,003,Allegany County,07201,Bolivar town,07190,Bolivar village,9999,
36,New York,003,Allegany County,07201,Bolivar town,61434,Richburg village,9999,
36,New York,003,Allegany County,07201,Bolivar town,99999,,9999,
36,New York,003,Allegany County,11253,Burns town,12177,Canaseraga village,9999,
36,New York,003,Allegany County,11253,Burns town,99999,,9999,
36,New York,003,Allegany County,12243,Caneadea town,99999,,9999,
36,New York,003,Allegany County,13475,Centerville town,99999,,9999,
36,New York,003,Allegany County,15990,Clarksville town,99999,,9999,
36,New York,003,Allegany County,19367,Cuba town,19356,Cuba village,9999,
36,New York,003,Allegany County,19367,Cuba town,99999,,9999,
36,New York,003,Allegany County,27705,Friendship town,99999,,9999,
36,New York,003,Allegany County,28563,Genesee town,99999,,9999,
36,New York,003,Allegany County,29905,Granger town,99999,,9999,
36,New York,003,Allegany County,30994,Grove town,99999,,9999,
36,New York,003,Allegany County,36112,Hume town,99999,,9999,
36,New York,003,Allegany County,37297,Independence town,99999,,9999,
36,New York,003,Allegany County,50375,New Hudson town,99999,,9999,
36,New York,003,Allegany County,64166,Rushford town,99999,,9999,
36,New York,003,Allegany County,65772,Scio town,99999,,9999,
36,New York,003,Allegany County,78201,Ward town,99999,,9999,
36,New York,003,Allegany County,79103,Wellsville town,79092,Wellsville village,9999,
36,New York,003,Allegany County,79103,Wellsville town,99999,,9999,
36,New York,003,Allegany County,79202,West Almond town,99999,,9999,
36,New York,003,Allegany County,82095,Willing town,99999,,9999,
36,New York,003,Allegany County,82623,Wirt town,61434,Richburg village,9999,
36,New York,003,Allegany County,82623,Wirt town,99999,,9999,
36,New York,003,Allegany County,99999,,99999,,2535,Oil Springs Reservation
36,New York,005,Bronx County,99999,,51000,New York city,9999,
36,New York,007,Broome County,04429,Barker town,99999,,9999,
36,New York,007,Broome County,06618,Binghamton town,99999,,9999,
36,New York,007,Broome County,15110,Chenango town,99999,,9999,
36,New York,007,Broome County,17046,Colesville town,99999,,9999,
36,New York,007,Broome County,17772,Conklin town,99999,,9999,
36,New York,007,Broome County,20588,Dickinson town,59245,Port Dickinson village,9999,
36,New York,007,Broome County,20588,Dickinson town,99999,,9999,
36,New York,007,Broome County,25604,Fenton town,99999,,9999,
36,New York,007,Broome County,39837,Kirkwood town,99999,,9999,
36,New York,007,Broome County,42653,Lisle town,42642,Lisle village,9999,
36,New York,007,Broome County,42653,Lisle town,99999,,9999,
36,New York,007,Broome County,44611,Maine town,99999,,9999,
36,New York,007,Broome County,49396,Nanticoke town,99999,,9999,
36,New York,007,Broome County,65112,Sanford town,20346,Deposit village,9999,
36,New York,007,Broome County,65112,Sanford town,99999,,9999,
36,New York,007,Broome County,75319,Triangle town,81831,Whitney Point village,9999,
36,New York,007,Broome County,75319,Triangle town,99999,,9999,
36,New York,007,Broome County,76056,Union town,24515,Endicott village,9999,
36,New York,007,Broome County,76056,Union town,38748,Johnson City village,9999,
36,New York,007,Broome County,76056,Union town,99999,,9999,
36,New York,007,Broome County,77255,Vestal town,99999,,9999,
36,New York,007,Broome County,82535,Windsor town,82524,Windsor village,9999,
36,New York,007,Broome County,82535,Windsor town,99999,,9999,
36,New York,007,Broome County,99999,,06607,Binghamton city,9999,
36,New York,009,Cattaraugus County,01297,Allegany town,01286,Allegany village,9999,
36,New York,009,Cattaraugus County,01297,Allegany town,99999,,9999,
36,New York,009,Cattaraugus County,02759,Ashford town,99999,,9999,
36,New York,009,Cattaraugus County,12661,Carrollton town,99999,,9999,
36,New York,009,Cattaraugus County,16903,Coldspring town,99999,,9999,
36,New York,009,Cattaraugus County,17684,Conewango town,99999,,9999,
36,New York,009,Cattaraugus County,19840,Dayton town,68891,South Dayton village,9999,
36,New York,009,Cattaraugus County,19840,Dayton town,99999,,9999,
36,New York,009,Cattaraugus County,22678,East Otto town,99999,,9999,
36,New York,009,Cattaraugus County,24031,Ellicottville town,24020,Ellicottville village,9999,
36,New York,009,Cattaraugus County,24031,Ellicottville town,99999,,9999,
36,New York,009,Cattaraugus County,25340,Farmersville town,99999,,9999,
36,New York,009,Cattaraugus County,27342,Franklinville town,27331,Franklinville village,9999,
36,New York,009,Cattaraugus County,27342,Franklinville town,99999,,9999,
36,New York,009,Cattaraugus County,27441,Freedom town,99999,,9999,
